trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-25.919500363085323,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,0,-162.22377827863062,"{0: 15, 1: 5, 2: 1, 3: 1, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,0,-191.57333683438367,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,0,-4.702028792947583,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",25,14,-16.352515125007173,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,-10.716412136999208,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-41.48735542206571,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",20,0,-50.513424627343035,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",25,0,-153.9341652874513,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",25,0,6.959002761417491,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,2,-21.457208338895846,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",25,0,-35.412110428245406,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,0,-54.23926874036136,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",30,4,-150.7818049416865,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 3}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",20,0,-53.104813047111016,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5639051904523876}",20,0,-72.94371230306375,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478638}",25,0,-30.60981725875265,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,18,2.6203327780852574,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",20,0,-72.28197071918562,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",20,0,-88.59401869548488,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,12,-93.25188040018777,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,0,-102.69774434878279,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
